,end_lat,end_long,route,start_lat,start_long
306,41.2392368,-81.3419451,0,41.2397971,-81.3493381
307,41.2420025,-81.2991281,0,41.2392368,-81.3419451
308,41.2376309,-80.979013,0,41.2420025,-81.2991281
309,41.2309849,-80.9029895,0,41.2376309,-80.979013
310,41.237095,-80.8805534,0,41.2309849,-80.9029895
311,41.2390059,-80.880611,0,41.237095,-80.8805534
312,41.2340085,-80.8264218,0,41.2390059,-80.880611
313,41.237048,-80.7679914,0,41.2340085,-80.8264218
314,41.2372728,-80.7633736,0,41.237048,-80.7679914
315,41.2372763,-80.7617508,0,41.2372728,-80.7633736
316,41.2377257,-80.7083011,0,41.2372763,-80.7617508
317,41.2327599,-80.519092,0,41.2377257,-80.7083011
318,41.2371899,-80.3605028,0,41.2327599,-80.519092
319,41.2343435,-80.3163713,0,41.2371899,-80.3605028
320,41.2256098,-80.2690852,0,41.2343435,-80.3163713
321,41.2260345,-80.2653373,0,41.2256098,-80.2690852
322,41.2268946,-80.2399596,0,41.2260345,-80.2653373
323,41.2272577,-80.2399741,0,41.2268946,-80.2399596
324,41.2272656,-80.2378773,0,41.2272577,-80.2399741
325,41.2269089,-80.2378724,0,41.2272656,-80.2378773
326,41.2256943,-80.2196862,0,41.2269089,-80.2378724
327,41.2310957,-79.9577641,0,41.2256943,-80.2196862
328,41.2323627,-79.956401,0,41.2310957,-79.9577641
329,41.2296796,-79.9536079,0,41.2323627,-79.956401
330,41.2438074,-79.8972433,0,41.2296796,-79.9536079
331,41.2398042,-79.8964328,0,41.2438074,-79.8972433
332,41.2382474,-79.8551171,0,41.2398042,-79.8964328
333,41.2773683,-79.7485595,0,41.2382474,-79.8551171
334,41.2775704,-79.6786136,0,41.2773683,-79.7485595
335,41.2779432,-79.6586696,0,41.2775704,-79.6786136
336,41.2753472,-79.6600951,0,41.2779432,-79.6586696
337,41.2761138,-79.6488312,0,41.2753472,-79.6600951
338,41.2752218,-79.6487818,0,41.2761138,-79.6488312
339,41.2751709,-79.6467612,0,41.2752218,-79.6487818
340,41.2771741,-79.6220988,0,41.2751709,-79.6467612
341,41.2783787,-79.6217249,0,41.2771741,-79.6220988
342,41.2824169,-79.6110049,0,41.2783787,-79.6217249
343,41.2800912,-79.6053934,0,41.2824169,-79.6110049
344,41.279883,-79.6045989,0,41.2800912,-79.6053934
345,41.269821,-79.5807193,0,41.279883,-79.6045989
346,41.2716196,-79.5692058,0,41.269821,-79.5807193
347,41.276997,-79.5510656,0,41.2716196,-79.5692058
348,41.2507593,-79.4611743,0,41.276997,-79.5510656
349,41.2428378,-79.426807,0,41.2507593,-79.4611743
350,41.2175613,-79.3927078,0,41.2428378,-79.426807
351,41.116262,-78.9197873,0,41.2175613,-79.3927078
352,41.1024969,-78.9018434,0,41.116262,-78.9197873
353,41.1022854,-78.9010021,0,41.1024969,-78.9018434
354,41.1020561,-78.8993547,0,41.1022854,-78.9010021
355,41.0790155,-78.7609479,0,41.1020561,-78.8993547
356,41.0721169,-78.7417823,0,41.0790155,-78.7609479
357,41.0768042,-78.7350365,0,41.0721169,-78.7417823
358,41.0767032,-78.7233889,0,41.0768042,-78.7350365
359,41.0692851,-78.7127273,0,41.0767032,-78.7233889
360,41.0703024,-78.7112456,0,41.0692851,-78.7127273
361,41.074509,-78.6981308,0,41.0703024,-78.7112456
362,41.078152,-78.68409,0,41.074509,-78.6981308
363,41.0776255,-78.6802762,0,41.078152,-78.68409
364,41.0777348,-78.6802382,0,41.0776255,-78.6802762
365,41.0757316,-78.6547105,0,41.0777348,-78.6802382
366,41.075623,-78.530126,0,41.0757316,-78.6547105
367,41.0272722,-78.4398578,0,41.075623,-78.530126
368,41.0267305,-78.4385849,0,41.0272722,-78.4398578
369,41.0264343,-78.4362329,0,41.0267305,-78.4385849
